[Name]
Series 1 at /LINE:Line 1

[Data]
Y [ m ],graphicD95 [ m^2.2 ]
1.45344198e-01, 1.04232867e+05
1.45544395e-01, 1.04911969e+05
1.45744592e-01, 1.05606789e+05
1.45944789e-01, 1.06317977e+05
1.46144986e-01, 1.07046258e+05
1.46345183e-01, 1.07792250e+05
1.46545380e-01, 1.08556797e+05
1.46745577e-01, 1.09340648e+05
1.46945775e-01, 1.10144680e+05
1.47145972e-01, 1.10969797e+05
1.47346169e-01, 1.11816961e+05
1.47546366e-01, 1.12687188e+05
1.47746563e-01, 1.13581602e+05
1.47946760e-01, 1.14501367e+05
1.48146957e-01, 1.15447727e+05
1.48347154e-01, 1.16422047e+05
1.48547351e-01, 1.17425781e+05
1.48747548e-01, 1.18460461e+05
1.48947746e-01, 1.19527766e+05
1.49147943e-01, 1.20629516e+05
1.49348140e-01, 1.21767625e+05
1.49548337e-01, 1.22944234e+05
1.49748534e-01, 1.24161656e+05
1.49948731e-01, 1.25422313e+05
1.50148928e-01, 1.26728953e+05
1.50349125e-01, 1.28084484e+05
1.50549322e-01, 1.29492195e+05
1.50749519e-01, 1.30955547e+05
1.50949717e-01, 1.32478453e+05
1.51149914e-01, 1.34065266e+05
1.51350111e-01, 1.35720656e+05
1.51550308e-01, 1.37449797e+05
1.51750505e-01, 1.39258672e+05
1.51950702e-01, 1.41153656e+05
1.52150899e-01, 1.43142078e+05
1.52351096e-01, 1.45232125e+05
1.52551293e-01, 1.47433031e+05
1.52751490e-01, 1.49755297e+05
1.52951688e-01, 1.52210844e+05
1.53151885e-01, 1.54813344e+05
1.53352082e-01, 1.57578578e+05
1.53552279e-01, 1.60524734e+05
1.53752476e-01, 1.63673203e+05
1.53952673e-01, 1.67048953e+05
1.54152870e-01, 1.70681703e+05
1.54353067e-01, 1.74626281e+05
1.54553264e-01, 1.78867328e+05
1.54753461e-01, 1.83515359e+05
1.54953659e-01, 1.88615578e+05
1.55153856e-01, 1.92869313e+05
1.55354053e-01, 1.95716813e+05
1.55554250e-01, 1.98969828e+05
1.55754447e-01, 2.00728781e+05
1.55954644e-01, 2.01923188e+05
1.56154841e-01, 2.03142875e+05
1.56355038e-01, 2.04433531e+05
1.56555235e-01, 2.05794828e+05
1.56755432e-01, 2.07188344e+05
1.56955630e-01, 2.08615453e+05
1.57155827e-01, 2.10077578e+05
1.57356024e-01, 2.11576188e+05
1.57556221e-01, 2.13112969e+05
1.57756418e-01, 2.14689500e+05
1.57956615e-01, 2.16307594e+05
1.58156812e-01, 2.17969219e+05
1.58357009e-01, 2.19676406e+05
1.58557206e-01, 2.21431313e+05
1.58757403e-01, 2.23236266e+05
1.58957601e-01, 2.25093813e+05
1.59157798e-01, 2.27006594e+05
1.59357995e-01, 2.28977531e+05
1.59558192e-01, 2.31009641e+05
1.59758389e-01, 2.33106328e+05
1.59958586e-01, 2.35271172e+05
1.60158783e-01, 2.37508078e+05
1.60358980e-01, 2.39821203e+05
1.60559177e-01, 2.42215172e+05
1.60759374e-01, 2.44694891e+05
1.60959572e-01, 2.47265859e+05
1.61159769e-01, 2.49933875e+05
1.61359966e-01, 2.52714688e+05
1.61560163e-01, 2.55587734e+05
1.61760360e-01, 2.58588375e+05
1.61960557e-01, 2.61716031e+05
1.62160754e-01, 2.64980281e+05
1.62360951e-01, 2.68391594e+05
1.62561148e-01, 2.71961781e+05
1.62761346e-01, 2.75703875e+05
1.62961543e-01, 2.79632625e+05
1.63161740e-01, 2.83764563e+05
1.63361937e-01, 2.88118406e+05
1.63562134e-01, 2.92715469e+05
1.63762331e-01, 2.97579875e+05
1.63962528e-01, 3.02739469e+05
1.64162725e-01, 3.08226469e+05
1.64362922e-01, 3.14078031e+05
1.64563119e-01, 3.20337875e+05
1.64763317e-01, 3.27057344e+05
1.64963514e-01, 3.34297531e+05
1.65163711e-01, 3.42131656e+05
1.65363908e-01, 3.50648438e+05
1.65564105e-01, 3.59956625e+05
1.65764302e-01, 3.70191344e+05
1.65964499e-01, 3.81522938e+05
1.66164696e-01, 3.94169469e+05
1.66364893e-01, 4.08416563e+05
1.66565090e-01, 4.24645844e+05
1.66765288e-01, 4.43382844e+05
1.66965485e-01, 4.56052688e+05
1.67165682e-01, 4.61986406e+05
1.67365879e-01, 4.68199438e+05
1.67566076e-01, 4.74715125e+05
1.67766273e-01, 4.81559531e+05
1.67966470e-01, 4.88762406e+05
1.68166667e-01, 4.96357031e+05
1.68366864e-01, 5.04381406e+05
1.68567061e-01, 5.12918219e+05
1.68767259e-01, 5.21899750e+05
1.68967456e-01, 5.31501500e+05
1.69167653e-01, 5.41751375e+05
1.69367850e-01, 5.49820313e+05
1.69568047e-01, 5.55929188e+05
1.69768244e-01, 5.62282250e+05
1.69968441e-01, 5.68897063e+05
1.70168638e-01, 5.75792375e+05
1.70368835e-01, 5.82989313e+05
1.70569032e-01, 5.90511375e+05
1.70769230e-01, 5.98384500e+05
1.70969427e-01, 6.06637688e+05
1.71169624e-01, 6.15303438e+05
1.71369821e-01, 6.24418688e+05
1.71570018e-01, 6.34024563e+05
1.71770215e-01, 6.41273438e+05
1.71970412e-01, 6.45901750e+05
1.72170609e-01, 6.50649375e+05
1.72370806e-01, 6.55521188e+05
1.72571003e-01, 6.60523313e+05
1.72771201e-01, 6.65661375e+05
1.72971398e-01, 6.70942313e+05
1.73171595e-01, 6.76372750e+05
1.73371792e-01, 6.81960375e+05
1.73571989e-01, 6.87712875e+05
1.73772186e-01, 6.93638875e+05
1.73972383e-01, 6.99747500e+05
1.74172580e-01, 7.06048625e+05
1.74372777e-01, 7.12553125e+05
1.74572974e-01, 7.19272125e+05
1.74773172e-01, 7.26218188e+05
1.74973369e-01, 7.33404813e+05
1.75173566e-01, 7.40846938e+05
1.75373763e-01, 7.48560375e+05
1.75573960e-01, 7.56562063e+05
1.75774157e-01, 7.64871438e+05
1.75974354e-01, 7.73509313e+05
1.76174551e-01, 7.82498500e+05
1.76374748e-01, 7.86159563e+05
1.76574945e-01, 7.88662188e+05
1.76775143e-01, 7.91192563e+05
1.76975340e-01, 7.93751813e+05
1.77175537e-01, 7.96340438e+05
1.77375734e-01, 7.98958625e+05
1.77575931e-01, 8.01607063e+05
1.77776128e-01, 8.04286688e+05
1.77976325e-01, 8.06997875e+05
1.78176522e-01, 8.09977563e+05
1.78376719e-01, 8.13123875e+05
1.78576916e-01, 8.16313188e+05
1.78777114e-01, 8.19547188e+05
1.78977311e-01, 8.22826063e+05
1.79177508e-01, 8.26151500e+05
1.79377705e-01, 8.29524375e+05
1.79577902e-01, 8.32945938e+05
1.79778099e-01, 8.36417313e+05
1.79978296e-01, 8.39310250e+05
1.80178493e-01, 8.40878875e+05
1.80378690e-01, 8.42457688e+05
1.80578887e-01, 8.44047063e+05
1.80779085e-01, 8.45646875e+05
1.80979282e-01, 8.47257500e+05
1.81179479e-01, 8.48720688e+05
1.81379676e-01, 8.49776000e+05
1.81579873e-01, 8.50835875e+05
1.81780070e-01, 8.51900563e+05
1.81980267e-01, 8.52969938e+05
1.82180464e-01, 8.54043813e+05
1.82380661e-01, 8.55122500e+05
1.82580858e-01, 8.56206000e+05
1.82781056e-01, 8.57294375e+05
1.82981253e-01, 8.58387500e+05
1.83181450e-01, 8.59485375e+05
1.83381647e-01, 8.60588625e+05
1.83581844e-01, 8.61696500e+05
1.83782041e-01, 8.62809563e+05
1.83982238e-01, 8.63927625e+05
1.84182435e-01, 8.65050625e+05
1.84382632e-01, 8.66178875e+05
1.84582829e-01, 8.67312188e+05
1.84783027e-01, 8.68450938e+05
1.84983224e-01, 8.69594750e+05
1.85183421e-01, 8.70743938e+05
1.85383618e-01, 8.71898375e+05
1.85583815e-01, 8.73058250e+05
1.85784012e-01, 8.74223625e+05
1.85984209e-01, 8.75394375e+05
1.86184406e-01, 8.76570563e+05
1.86384603e-01, 8.77752375e+05
1.86584800e-01, 8.78939750e+05
1.86784998e-01, 8.80132875e+05
1.86985195e-01, 8.81331563e+05
1.87185392e-01, 8.82536000e+05
1.87385589e-01, 8.83746000e+05
1.87585786e-01, 8.84833250e+05
1.87785983e-01, 8.85806250e+05
1.87986180e-01, 8.86747250e+05
1.88186377e-01, 8.87691688e+05
1.88386574e-01, 8.88639563e+05
1.88586771e-01, 8.89591188e+05
1.88786969e-01, 8.90546188e+05
1.88987166e-01, 8.91504813e+05
1.89187363e-01, 8.92467250e+05
1.89387560e-01, 8.93433250e+05
1.89587757e-01, 8.94402938e+05
1.89787954e-01, 8.95376188e+05
1.89988151e-01, 8.96357250e+05
1.90188348e-01, 8.97334188e+05
1.90388545e-01, 8.98318625e+05
1.90588742e-01, 8.99306875e+05
1.90788940e-01, 9.00299000e+05
1.90989137e-01, 9.01295000e+05
1.91189334e-01, 9.02294750e+05
1.91389531e-01, 9.03298625e+05
1.91589728e-01, 9.04306250e+05
1.91789925e-01, 9.05317688e+05
1.91990122e-01, 9.06333438e+05
1.92190319e-01, 9.07373875e+05
1.92390516e-01, 9.08592625e+05
1.92590714e-01, 9.10097688e+05
1.92790911e-01, 9.11908500e+05
1.92991108e-01, 9.13732000e+05
1.93191305e-01, 9.15568250e+05
1.93391502e-01, 9.16821688e+05
1.93591699e-01, 9.16515563e+05
1.93791896e-01, 9.16210063e+05
1.93992093e-01, 9.15904688e+05
1.94192290e-01, 9.15599750e+05
1.94392487e-01, 9.15295125e+05
1.94592685e-01, 9.14991063e+05
1.94792882e-01, 9.14687250e+05
1.94993079e-01, 9.14383688e+05
1.95193276e-01, 9.14080688e+05
1.95393473e-01, 9.13777875e+05
1.95593670e-01, 9.13475500e+05
1.95793867e-01, 9.13173188e+05
1.95994064e-01, 9.12871688e+05
1.96194261e-01, 9.12570188e+05
1.96394458e-01, 9.12269313e+05
1.96594656e-01, 9.11968563e+05
1.96794853e-01, 9.11668063e+05
1.96995050e-01, 9.11368063e+05
1.97195247e-01, 9.11068438e+05
1.97395444e-01, 9.10769188e+05
1.97595641e-01, 9.10470125e+05
1.97795838e-01, 9.10171563e+05
1.97996035e-01, 9.09873250e+05
1.98196232e-01, 9.09575313e+05
1.98396429e-01, 9.09277813e+05
1.98596627e-01, 9.08980500e+05
1.98796824e-01, 9.08614313e+05
1.98997021e-01, 9.08132438e+05
1.99197218e-01, 9.07815000e+05
1.99397415e-01, 9.07497813e+05
1.99597612e-01, 9.07181125e+05
1.99797809e-01, 9.06864563e+05
1.99998006e-01, 9.06548875e+05


