x, y
0.0005095521864279611, 697.6670501804406
0.0014012758019071843, 561.2878280039132
0.002038214577096069, 438.2215900027591
0.002420380174763085, 347.30946881726766
0.002929938192575281, 277.32993924541756
0.0034394903790032423, 218.15349830374407
0.003949042565431192, 172.89603557876947
0.004585987172004323, 137.02754872733635
0.0054777049560993, 109.41781084435341
0.008407643148674586, 111.90770986005323
0.010700636734676737, 137.02754872733635
0.01286624373191797, 167.78601879802233
0.015031844897774961, 205.44881934733252
0.017197457726400436, 249.68594832732762
0.019745224489924443, 305.7327640226074
0.02242038367359363, 360.5813978788643
0.025350316034784666, 438.2215900027591
0.02853503323626605, 516.8387955051132
0.031847131195124126, 600.4841996909784
0.03541401399427253, 692.4540076725109
0.03910827755079763, 792.5430347123721
0.04280255277009119, 900.3209282297252
0.04675158950413815, 1000
0.050573245480808424, 1102.4154742864075
0.0547770670551457, 1206.2386713013273
0.05885350787210631, 1319.8397211220367
0.06318471020382029, 1433.3484715113975
0.06738853177815757, 1544.9879679930525
0.07159235335249486, 1652.878999339412
0.07592356734697733, 1768.304377157155
0.08012738892131463, 1877.6542663569005
0.08458598367317376, 1978.8685921237698
0.08878980524751105, 2101.2395278545678
0.09324841166213868, 2214.5061424263417
0.09770700641399784, 2316.4389706891425
0.1020382204084803, 2423.0637260947883
