[Name]
Series 1 at /LINE:Line 1

[Data]
Y [ m ],graphicD95 [ m ]
3.32332775e-02, 1.15068005e+03
3.34334783e-02, 1.16288196e+03
3.36336792e-02, 1.17126489e+03
3.38338800e-02, 1.17887146e+03
3.40340808e-02, 1.18665381e+03
3.42342816e-02, 1.19461890e+03
3.44344825e-02, 1.20277417e+03
3.46346833e-02, 1.21112769e+03
3.48348841e-02, 1.21968823e+03
3.50350849e-02, 1.22846399e+03
3.52352858e-02, 1.23746497e+03
3.54354866e-02, 1.24670081e+03
3.56356874e-02, 1.25618286e+03
3.58358882e-02, 1.26596851e+03
3.60360891e-02, 1.27648767e+03
3.62362899e-02, 1.28731934e+03
3.64364907e-02, 1.29847961e+03
3.66366915e-02, 1.30923376e+03
3.68368924e-02, 1.32016541e+03
3.70370932e-02, 1.33142346e+03
3.72372940e-02, 1.34302478e+03
3.74374948e-02, 1.35498804e+03
3.76376957e-02, 1.36733252e+03
3.78378965e-02, 1.38007996e+03
3.80380973e-02, 1.39279285e+03
3.82382981e-02, 1.40171887e+03
3.84384990e-02, 1.41084790e+03
3.86386998e-02, 1.42018848e+03
3.88389006e-02, 1.42974927e+03
3.90391015e-02, 1.43953931e+03
3.92393023e-02, 1.44956775e+03
3.94395031e-02, 1.45985669e+03
3.96397039e-02, 1.47038232e+03
3.98399048e-02, 1.48119043e+03
4.00401056e-02, 1.49228186e+03
4.02403064e-02, 1.50366956e+03
4.04405072e-02, 1.51536731e+03
4.06407081e-02, 1.52739001e+03
4.08409089e-02, 1.53975281e+03
4.10411097e-02, 1.55247388e+03
4.12413105e-02, 1.56557007e+03
4.14415114e-02, 1.57906128e+03
4.16417122e-02, 1.59314526e+03
4.18419130e-02, 1.60865588e+03
4.20421138e-02, 1.62470837e+03
4.22423147e-02, 1.63335474e+03
4.24425155e-02, 1.64174878e+03
4.26427163e-02, 1.65029614e+03
4.28429171e-02, 1.65900122e+03
4.30431180e-02, 1.66786902e+03
4.32433188e-02, 1.67690503e+03
4.34435196e-02, 1.68611450e+03
4.36437204e-02, 1.69550403e+03
4.38439213e-02, 1.70507861e+03
4.40441221e-02, 1.71484558e+03
4.42443229e-02, 1.72487500e+03
4.44445238e-02, 1.73584094e+03
4.46447246e-02, 1.74712622e+03
4.48449254e-02, 1.75867261e+03
4.50451262e-02, 1.77049060e+03
4.52453271e-02, 1.78259119e+03
4.54455279e-02, 1.79498645e+03
4.56457287e-02, 1.80784460e+03
4.58459295e-02, 1.82130078e+03
4.60461304e-02, 1.83529248e+03
4.62463312e-02, 1.84930115e+03
4.64465320e-02, 1.86387927e+03
4.66467328e-02, 1.87886816e+03
4.68469337e-02, 1.89428772e+03
4.70471345e-02, 1.91015894e+03
4.72473353e-02, 1.92650574e+03
4.74475361e-02, 1.94335327e+03
4.76477370e-02, 1.96072485e+03
4.78479378e-02, 1.97064343e+03
4.80481386e-02, 1.98130591e+03
4.82483394e-02, 1.99217346e+03
4.84485403e-02, 2.00325159e+03
4.86487411e-02, 2.01454919e+03
4.88489419e-02, 2.02607275e+03
4.90491427e-02, 2.03783020e+03
4.92493436e-02, 2.04983008e+03
4.94495444e-02, 2.06208081e+03
4.96497452e-02, 2.07459180e+03
4.98499461e-02, 2.08737231e+03
5.00501469e-02, 2.09630688e+03
5.02503477e-02, 2.10504956e+03
5.04505485e-02, 2.11392114e+03
5.06507494e-02, 2.12292505e+03
5.08509502e-02, 2.13206519e+03
5.10511510e-02, 2.14134375e+03
5.12513518e-02, 2.15076538e+03
5.14515527e-02, 2.16033374e+03
5.16517535e-02, 2.17005298e+03
5.18519543e-02, 2.17992725e+03
5.20521551e-02, 2.18996045e+03
5.22523560e-02, 2.20015649e+03
5.24525568e-02, 2.21052124e+03
5.26527576e-02, 2.22105859e+03
5.28529584e-02, 2.23177393e+03
5.30531593e-02, 2.24267261e+03
5.32533601e-02, 2.25376099e+03
5.34535609e-02, 2.26505347e+03
5.36537617e-02, 2.27654590e+03
5.38539626e-02, 2.28824609e+03
5.40541634e-02, 2.30041479e+03
5.42543642e-02, 2.31308423e+03
5.44545650e-02, 2.32600195e+03
5.46547659e-02, 2.33917554e+03
5.48549667e-02, 2.35261401e+03
