[Name]
Series 1 at /LINE:Line 1

[Data]
Y [ m ],graphicD95 [ m ]
1.43142030e-01, 7.33668848e+03
1.43342227e-01, 7.34512793e+03
1.43542424e-01, 7.35762842e+03
1.43742621e-01, 7.37020361e+03
1.43942818e-01, 7.38285498e+03
1.44143015e-01, 7.39182471e+03
1.44343212e-01, 7.39714307e+03
1.44543409e-01, 7.40247412e+03
1.44743606e-01, 7.40781689e+03
1.44943804e-01, 7.41317578e+03
1.45144001e-01, 7.41854688e+03
1.45344198e-01, 7.42393115e+03
1.45544395e-01, 7.42933203e+03
1.45744592e-01, 7.43474463e+03
1.45944789e-01, 7.44016943e+03
1.46144986e-01, 7.44561035e+03
1.46345183e-01, 7.45106543e+03
1.46545380e-01, 7.45653320e+03
1.46745577e-01, 7.46201514e+03
1.46945775e-01, 7.46751270e+03
1.47145972e-01, 7.47302344e+03
1.47346169e-01, 7.47854834e+03
1.47546366e-01, 7.48408740e+03
1.47746563e-01, 7.48964063e+03
1.47946760e-01, 7.49520947e+03
1.48146957e-01, 7.50079199e+03
1.48347154e-01, 7.50638867e+03
1.48547351e-01, 7.51200049e+03
1.48747548e-01, 7.51762744e+03
1.48947746e-01, 7.52326855e+03
1.49147943e-01, 7.52892529e+03
1.49348140e-01, 7.53459570e+03
1.49548337e-01, 7.54028027e+03
1.49748534e-01, 7.54598340e+03
1.49948731e-01, 7.55169873e+03
1.50148928e-01, 7.55743164e+03
1.50349125e-01, 7.56317773e+03
1.50549322e-01, 7.56893994e+03
1.50749519e-01, 7.57471680e+03
1.50949717e-01, 7.58050781e+03
1.51149914e-01, 7.58631738e+03
1.51350111e-01, 7.59214160e+03
1.51550308e-01, 7.59798047e+03
1.51750505e-01, 7.60383691e+03
1.51950702e-01, 7.60970801e+03
1.52150899e-01, 7.61559619e+03
1.52351096e-01, 7.62149854e+03
1.52551293e-01, 7.62741748e+03
1.52751490e-01, 7.63335303e+03
1.52951688e-01, 7.63930469e+03
1.53151885e-01, 7.64527295e+03
1.53352082e-01, 7.65125732e+03
1.53552279e-01, 7.65725732e+03
1.53752476e-01, 7.66327441e+03
1.53952673e-01, 7.66930762e+03
1.54152870e-01, 7.67535791e+03
1.54353067e-01, 7.68147363e+03
1.54553264e-01, 7.68750928e+03
1.54753461e-01, 7.69360986e+03
1.54953659e-01, 7.69972754e+03
1.55153856e-01, 7.70772412e+03
1.55354053e-01, 7.71996631e+03
1.55554250e-01, 7.73127588e+03
1.55754447e-01, 7.73789063e+03
1.55954644e-01, 7.74519434e+03
1.56154841e-01, 7.75252344e+03
1.56355038e-01, 7.76051367e+03
1.56555235e-01, 7.76911035e+03
1.56755432e-01, 7.77773926e+03
1.56955630e-01, 7.78640234e+03
1.57155827e-01, 7.79509912e+03
1.57356024e-01, 7.80382910e+03
1.57556221e-01, 7.81259570e+03
1.57756418e-01, 7.82139600e+03
1.57956615e-01, 7.83023047e+03
1.58156812e-01, 7.83910059e+03
1.58357009e-01, 7.84800586e+03
1.58557206e-01, 7.85694629e+03
1.58757403e-01, 7.86592139e+03
1.58957601e-01, 7.87493408e+03
1.59157798e-01, 7.88398291e+03
1.59357995e-01, 7.89306885e+03
1.59558192e-01, 7.90218896e+03
1.59758389e-01, 7.91134863e+03
1.59958586e-01, 7.92054443e+03
1.60158783e-01, 7.92977783e+03
1.60358980e-01, 7.93904883e+03
1.60559177e-01, 7.94835938e+03
1.60759374e-01, 7.95770605e+03
1.60959572e-01, 7.96709229e+03
1.61159769e-01, 7.97651807e+03
1.61359966e-01, 7.98596338e+03
1.61560163e-01, 7.99548633e+03
1.61760360e-01, 8.00502930e+03
1.61960557e-01, 8.01461279e+03
1.62160754e-01, 8.02423633e+03
1.62360951e-01, 8.03389941e+03
1.62561148e-01, 8.04360596e+03
1.62761346e-01, 8.05335107e+03
1.62961543e-01, 8.06313916e+03
1.63161740e-01, 8.07296875e+03
1.63361937e-01, 8.08283984e+03
1.63562134e-01, 8.09275439e+03
1.63762331e-01, 8.10271143e+03
1.63962528e-01, 8.11270996e+03
1.64162725e-01, 8.12275342e+03
1.64362922e-01, 8.13284033e+03
1.64563119e-01, 8.14296973e+03
1.64763317e-01, 8.15314502e+03
1.64963514e-01, 8.16336475e+03
1.65163711e-01, 8.17362891e+03
1.65363908e-01, 8.18393848e+03
1.65564105e-01, 8.19429492e+03
1.65764302e-01, 8.20469531e+03
1.65964499e-01, 8.21514453e+03
1.66164696e-01, 8.22563867e+03
1.66364893e-01, 8.23618066e+03
1.66565090e-01, 8.24676855e+03
1.66765288e-01, 8.25740625e+03
1.66965485e-01, 8.26365039e+03
1.67165682e-01, 8.26620020e+03
1.67365879e-01, 8.26875391e+03
1.67566076e-01, 8.27130957e+03
1.67766273e-01, 8.27386914e+03
1.67966470e-01, 8.27642969e+03
1.68166667e-01, 8.27899512e+03
1.68366864e-01, 8.28156152e+03
1.68567061e-01, 8.28429590e+03
1.68767259e-01, 8.28670508e+03
1.68967456e-01, 8.28928027e+03
1.69167653e-01, 8.29185938e+03
1.69367850e-01, 8.29894922e+03
1.69568047e-01, 8.30966309e+03
1.69768244e-01, 8.32042676e+03
1.69968441e-01, 8.33123730e+03
1.70168638e-01, 8.34209766e+03
1.70368835e-01, 8.35300781e+03
1.70569032e-01, 8.36396680e+03
1.70769230e-01, 8.37497852e+03
1.70969427e-01, 8.38604004e+03
1.71169624e-01, 8.39715332e+03
1.71369821e-01, 8.40831738e+03
1.71570018e-01, 8.41953516e+03
1.71770215e-01, 8.42457813e+03
1.71970412e-01, 8.42351270e+03
1.72170609e-01, 8.42245215e+03
1.72370806e-01, 8.42138965e+03
1.72571003e-01, 8.42032813e+03
1.72771201e-01, 8.41926367e+03
1.72971398e-01, 8.41820117e+03
1.73171595e-01, 8.41714160e+03
1.73371792e-01, 8.41608203e+03
1.73571989e-01, 8.41502051e+03
1.73772186e-01, 8.41396289e+03
1.73972383e-01, 8.41290234e+03
1.74172580e-01, 8.41184277e+03
1.74372777e-01, 8.41078613e+03
1.74572974e-01, 8.40972754e+03
1.74773172e-01, 8.40866992e+03
1.74973369e-01, 8.40761230e+03
1.75173566e-01, 8.40655762e+03
1.75373763e-01, 8.40550293e+03
1.75573960e-01, 8.40444727e+03
1.75774157e-01, 8.40339258e+03
1.75974354e-01, 8.40233789e+03
1.76174551e-01, 8.40128418e+03
1.76374748e-01, 8.40086133e+03
1.76574945e-01, 8.40057324e+03
1.76775143e-01, 8.40028516e+03
1.76975340e-01, 8.39999707e+03
1.77175537e-01, 8.39971094e+03
1.77375734e-01, 8.39942285e+03
1.77575931e-01, 8.39913672e+03
1.77776128e-01, 8.39884961e+03
1.77976325e-01, 8.39856152e+03
1.78176522e-01, 8.40614844e+03
1.78376719e-01, 8.41797656e+03
1.78576916e-01, 8.42986230e+03
1.78777114e-01, 8.44181055e+03
1.78977311e-01, 8.45381738e+03
1.79177508e-01, 8.46588379e+03
1.79377705e-01, 8.47800977e+03
1.79577902e-01, 8.49019531e+03
1.79778099e-01, 8.50244531e+03
1.79978296e-01, 8.51006836e+03
1.80178493e-01, 8.50767480e+03
1.80378690e-01, 8.50528418e+03
1.80578887e-01, 8.50289551e+03
1.80779085e-01, 8.50050781e+03
1.80979282e-01, 8.49812598e+03
1.81179479e-01, 8.49891406e+03
1.81379676e-01, 8.50805176e+03
1.81579873e-01, 8.51722461e+03
1.81780070e-01, 8.52643359e+03
1.81980267e-01, 8.53567480e+03
1.82180464e-01, 8.54495313e+03
1.82380661e-01, 8.55426465e+03
1.82580858e-01, 8.56361328e+03
1.82781056e-01, 8.57299805e+03
1.82981253e-01, 8.58241699e+03
1.83181450e-01, 8.59187402e+03
1.83381647e-01, 8.60136719e+03
1.83581844e-01, 8.61089551e+03
1.83782041e-01, 8.62046484e+03
1.83982238e-01, 8.63006934e+03
1.84182435e-01, 8.63971094e+03
1.84382632e-01, 8.64939160e+03
1.84582829e-01, 8.65910645e+03
1.84783027e-01, 8.66886523e+03
1.84983224e-01, 8.67866016e+03
1.85183421e-01, 8.68849316e+03
1.85383618e-01, 8.69836621e+03
1.85583815e-01, 8.70827832e+03
1.85784012e-01, 8.71822949e+03
1.85984209e-01, 8.72822070e+03
1.86184406e-01, 8.73825293e+03
1.86384603e-01, 8.74832617e+03
1.86584800e-01, 8.75843848e+03
1.86784998e-01, 8.76859277e+03
1.86985195e-01, 8.77878809e+03
1.87185392e-01, 8.78902539e+03
1.87385589e-01, 8.79930371e+03
1.87585786e-01, 8.80469629e+03
1.87785983e-01, 8.80547070e+03
1.87986180e-01, 8.80476758e+03
1.88186377e-01, 8.80406543e+03
1.88386574e-01, 8.80336230e+03
1.88586771e-01, 8.80266113e+03
1.88786969e-01, 8.80195898e+03
1.88987166e-01, 8.80125586e+03
1.89187363e-01, 8.80055371e+03
1.89387560e-01, 8.79985254e+03
1.89587757e-01, 8.79915234e+03
1.89787954e-01, 8.79845020e+03
1.89988151e-01, 8.79727246e+03
1.90188348e-01, 8.79705078e+03
1.90388545e-01, 8.79634961e+03
1.90588742e-01, 8.79564844e+03
1.90788940e-01, 8.79494824e+03
1.90989137e-01, 8.79424805e+03
1.91189334e-01, 8.79354883e+03
1.91389531e-01, 8.79284863e+03
1.91589728e-01, 8.79214941e+03
1.91789925e-01, 8.79144824e+03
1.91990122e-01, 8.79075098e+03
1.92190319e-01, 8.79083203e+03
1.92390516e-01, 8.79738672e+03
1.92590714e-01, 8.80791113e+03
1.92790911e-01, 8.82265918e+03
1.92991108e-01, 8.83749414e+03
1.93191305e-01, 8.85241699e+03
1.93391502e-01, 8.86513477e+03
1.93591699e-01, 8.87187012e+03
1.93791896e-01, 8.87862695e+03
1.93992093e-01, 8.88539941e+03
1.94192290e-01, 8.89219043e+03
1.94392487e-01, 8.89900000e+03
1.94592685e-01, 8.90582813e+03
1.94792882e-01, 8.91267480e+03
1.94993079e-01, 8.91954004e+03
1.95193276e-01, 8.92642383e+03
1.95393473e-01, 8.93332520e+03
1.95593670e-01, 8.94024707e+03
1.95793867e-01, 8.94718555e+03
1.95994064e-01, 8.95414551e+03
1.96194261e-01, 8.96112109e+03
1.96394458e-01, 8.96811914e+03
1.96594656e-01, 8.97513477e+03
1.96794853e-01, 8.98216895e+03
1.96995050e-01, 8.98922363e+03
1.97195247e-01, 8.99629590e+03
1.97395444e-01, 9.00338965e+03
1.97595641e-01, 9.01050195e+03
1.97795838e-01, 9.01763477e+03
1.97996035e-01, 9.02478711e+03
1.98196232e-01, 9.03196094e+03
1.98396429e-01, 9.03915137e+03
1.98596627e-01, 9.04636328e+03
1.98796824e-01, 9.05043164e+03
1.98997021e-01, 9.05003809e+03
1.99197218e-01, 9.06170215e+03
1.99397415e-01, 9.07341895e+03
1.99597612e-01, 9.08518848e+03
1.99797809e-01, 9.09700977e+03
1.99998006e-01, 9.10888770e+03


