x, y
0.0005095521864279611, 687.2796816059366
0.0014012758019071843, 548.7994122171997
0.0019108279883351346, 431.6971801636673
0.0022929935860021614, 339.5819806430142
0.0026751591836691882, 267.12224882662724
0.003057324781336215, 211.70587772424855
0.0035668769677641653, 165.28789993394105
0.0042038215743372956, 131.98397211220367
0.005222931778577442, 106.18388387272692
0.008280256559913652, 111.07148539783122
0.010191084548248786, 133.9787439655677
0.012229299125344845, 167.78601879802233
0.014267513702440908, 184.96987173849172
0.014394906122586077, 146.59658347798245
0.014522298542731247, 113.59901523991303
0.014522298542731247, 87.37117055048284
0.014649679300107936, 56.12877316489214
0.014649679300107936, 41.270066042038565
0.014777071720253105, 32.708292153819656
0.014649679300107936, 25.156571702237112
0.014777071720253105, 19.640819380633197
0.015031844897774961, 15.56618925173936
0.015414010495441988, 17.55091117215251
0.015541402915587157, 22.145065225855884
0.015668795335732327, 27.941773068144418
0.015923568513254185, 35.78869109552149
0.016178341690776043, 44.48448349188278
0.01643312653106638, 56.551350147516274
0.01681529212873341, 71.89150127136818
0.017324838483777125, 89.35937877614042
0.017834396501589318, 113.59901523991303
0.018471335276778203, 142.26380948443105
0.019235666472112247, 179.5030075310373
0.02012739008759147, 226.4899187413616
0.02114649446044738, 283.64082718425163
0.0225477760937388, 357.8869723928488
0.02394904606426174, 441.5208311367153
0.025732481632451693, 548.7994122171997
0.027643309620786826, 677.0472000961846
0.0298089224494123, 835.2646587641791
0.03222929679279114, 1030.4555577237843
0.0345222903787933, 1224.4692425454589
0.03757961516012952, 1499.324925939848
0.04050955918408903, 1755.0911172152503
0.04369426472280193, 2054.4878407840574
0.047133755101805175, 2404.9579229976075
0.050700637900953596, 2752.5765314792257
0.054394901457478675, 3126.900370273157
